Run,Query ID,Query,Model,Thinking,Temperature,Inference Time (s),Valid JSON,Done Reason,Prompt Eval Count,Prompt Eval Duration (s),Eval Count,Eval Duration (s),Generation Throughput (tokens/s),Response
11,Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,ministral-3:3b,False,0.05,5.624683,True,stop,3129,0.016337,345,5.164998,66.7958,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" },
          { ""id"": ""e_eastwood"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": {
                ""or_conditions"": [
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Meryl Streep""
                  },
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Clint Eastwood""
                  }
                ]
              },
              ""operator"": "">"",
              ""right"": {
                ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_streep"" },
                ""operator"": ""+"",
                ""right"": { ""attribute_name"": ""salary"", ""of"": ""e_eastwood"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
12,Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,ministral-3:3b,False,0.05,5.613224,True,stop,3129,0.016211,345,5.156114,66.9109,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" },
          { ""id"": ""e_eastwood"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": {
                ""or_conditions"": [
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Meryl Streep""
                  },
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Clint Eastwood""
                  }
                ]
              },
              ""operator"": "">"",
              ""right"": {
                ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_streep"" },
                ""operator"": ""+"",
                ""right"": { ""attribute_name"": ""salary"", ""of"": ""e_eastwood"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
13,Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,ministral-3:3b,False,0.05,5.600204,True,stop,3129,0.016205,345,5.14873,67.0068,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" },
          { ""id"": ""e_eastwood"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": {
                ""or_conditions"": [
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Meryl Streep""
                  },
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Clint Eastwood""
                  }
                ]
              },
              ""operator"": "">"",
              ""right"": {
                ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_streep"" },
                ""operator"": ""+"",
                ""right"": { ""attribute_name"": ""salary"", ""of"": ""e_eastwood"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
14,Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,ministral-3:3b,False,0.05,5.631064,True,stop,3129,0.016351,345,5.162896,66.823,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" },
          { ""id"": ""e_eastwood"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": {
                ""or_conditions"": [
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Meryl Streep""
                  },
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Clint Eastwood""
                  }
                ]
              },
              ""operator"": "">"",
              ""right"": {
                ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_streep"" },
                ""operator"": ""+"",
                ""right"": { ""attribute_name"": ""salary"", ""of"": ""e_eastwood"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
15,Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,ministral-3:3b,False,0.05,5.620016,True,stop,3129,0.016677,345,5.16196,66.8351,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" },
          { ""id"": ""e_eastwood"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": {
                ""or_conditions"": [
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Meryl Streep""
                  },
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Clint Eastwood""
                  }
                ]
              },
              ""operator"": "">"",
              ""right"": {
                ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_streep"" },
                ""operator"": ""+"",
                ""right"": { ""attribute_name"": ""salary"", ""of"": ""e_eastwood"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
16,Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,ministral-3:3b,False,0.05,5.617231,True,stop,3129,0.016372,345,5.157709,66.8902,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" },
          { ""id"": ""e_eastwood"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": {
                ""or_conditions"": [
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Meryl Streep""
                  },
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Clint Eastwood""
                  }
                ]
              },
              ""operator"": "">"",
              ""right"": {
                ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_streep"" },
                ""operator"": ""+"",
                ""right"": { ""attribute_name"": ""salary"", ""of"": ""e_eastwood"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
17,Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,ministral-3:3b,False,0.05,6.698857,True,stop,3129,0.015983,415,6.202225,66.9115,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" },
          { ""id"": ""e_eastwood"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": {
                ""left"": { ""attribute_name"": ""name"", ""of"": ""e_streep"" },
                ""operator"": ""="",
                ""right"": ""Meryl Streep""
              },
              ""operator"": "">="",
              ""right"": {
                ""left"": { ""attribute_name"": ""name"", ""of"": ""e_eastwood"" },
                ""operator"": ""="",
                ""right"": ""Clint Eastwood""
              }
            },
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_actor"" },
                  ""operator"": "">"",
                  ""right"": {
                    ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_streep"" },
                    ""operator"": ""+"",
                    ""right"": {
                      ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_eastwood"" },
                      ""operator"": ""="",
                      ""right"": 0
                    }
                  }
                }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
18,Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,ministral-3:3b,False,0.05,6.800188,True,stop,3129,0.016284,421,6.293606,66.8933,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" },
          { ""id"": ""e_eastwood"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": {
                ""left"": { ""attribute_name"": ""name"", ""of"": ""e_streep"" },
                ""operator"": ""="",
                ""right"": ""Meryl Streep""
              },
              ""operator"": "">="",
              ""right"": {
                ""left"": { ""attribute_name"": ""name"", ""of"": ""e_eastwood"" },
                ""operator"": ""="",
                ""right"": ""Clint Eastwood""
              }
            },
            {
              ""left"": {
                ""count_id"": ""e_actor"",
                ""condition"": {
                  ""left"": {
                    ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_actor"" },
                    ""operator"": "">"",
                    ""right"": {
                      ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_streep"" },
                      ""operator"": ""+"",
                      ""right"": {
                        ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_eastwood"" },
                        ""operator"": ""+"",
                        ""right"": 0
                      }
                    }
                  }
                }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
19,Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,ministral-3:3b,False,0.05,5.628078,True,stop,3129,0.016243,345,5.156763,66.9024,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" },
          { ""id"": ""e_eastwood"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": {
                ""or_conditions"": [
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Meryl Streep""
                  },
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Clint Eastwood""
                  }
                ]
              },
              ""operator"": "">"",
              ""right"": {
                ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_streep"" },
                ""operator"": ""+"",
                ""right"": { ""attribute_name"": ""salary"", ""of"": ""e_eastwood"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
20,Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,ministral-3:3b,False,0.05,5.62792,True,stop,3129,0.016233,345,5.168611,66.7491,"```json
{
  ""hypotheses_set"": [
    [
      {
        ""id"": ""q1"",
        ""target"": [""e_movie""],
        ""entities"": [
          { ""id"": ""e_movie"", ""type"": ""Movie"" },
          { ""id"": ""e_actor"", ""type"": ""Person"" },
          { ""id"": ""e_streep"", ""type"": ""Person"" },
          { ""id"": ""e_eastwood"", ""type"": ""Person"" }
        ],
        ""relationships"": [
          { ""id"": ""r_act"", ""role"": ""actor"", ""from"": ""e_actor"", ""to"": ""e_movie"" }
        ],
        ""constraint"": {
          ""and_conditions"": [
            {
              ""left"": {
                ""or_conditions"": [
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Meryl Streep""
                  },
                  {
                    ""left"": { ""attribute_name"": ""name"", ""of"": ""e_actor"" },
                    ""operator"": ""="",
                    ""right"": ""Clint Eastwood""
                  }
                ]
              },
              ""operator"": "">"",
              ""right"": {
                ""left"": { ""attribute_name"": ""salary"", ""of"": ""e_streep"" },
                ""operator"": ""+"",
                ""right"": { ""attribute_name"": ""salary"", ""of"": ""e_eastwood"" }
              }
            }
          ]
        }
      }
    ]
  ]
}
```"
